B95.000 A 族链球菌作为分类于其他章疾病的原因
B95.100 B 族链球菌作为分类于其他章疾病的原因
B95.200 D 组链球菌和肠球菌疾病作为其他章节疾病分类的原因
B95.300 肺炎链球菌作为分类于其他章疾病的原因
Z95.400 具有其他心脏瓣膜置换
Z95.500x002 冠状血管成形术后状态
Z95.501 冠状动脉支架植入后状态
Z95.800x001 血管置换术后状态
Z95.800x003 周围血管支架植入术后状态
Z95.800x004 血管支架植入术后状态
Z95.800x005 心脏介入封堵术后状态
Z95.800x006 人工心脏置入术后
Z95.800x007 具有心脏除颤器
Z95.801 周围血管成形术后状态
Z95.900 具有心脏和血管植入物和移植物
Z96.001 输尿管内支架
Z96.101 人工晶体植入术后
Z96.102 带晶状体眼的人工晶体植入术后
Z96.200x001 骨传导听力装置植入状态
Z96.200x005 镫骨装置植入状态
Z96.201 人工耳蜗植入
Z96.300 具有人工喉
Z96.401 胰岛素泵植入状态
Z96.500 具有牙根和下颌骨植入物
Z96.600x001 具有关节置入物
Z96.600x011 具有肩关节置入物
Z96.600x031 具有腕关节置入物
Z96.600x061 具有踝关节置入物
Z96.601 人工髋关节
Z96.602 人工膝关节
Z96.603 人工肘关节
Z96.700 具有其他骨和腱的植入物
Z96.701 颅骨板植入物
Z96.800 具有其他特指的功能性植入物
Z96.900 具有功能性植入物
Z97.000x001 义眼
Z97.000x002 人工义眼托植入状态
Z97.100x001 具有人工肢体
Z97.200x001 具有假牙装置
Z97.300x002 具有接触镜
Z97.301 配戴眼镜
Z97.400 具有外部助听器
Z97.500x001 具有子宫内避孕装置
Z97.800 具有其他特指的装置
Z98.000x001 肠搭桥状态
Z98.000x002 肠吻合状态
Z98.100 关节固定术状态
Z98.200x001 脑脊液分流状态
Z98.800x001 鼻咽术后
Z98.800x002 扁桃体术后
Z98.800x003 喉术后
Z98.800x004 气管术后
Z98.800x005 肺术后
Z98.800x006 胸腔闭式引流术后
Z98.800x007 腺样体术后
Z98.800x101 牙外科正畸术后
Z98.800x102 牙龈术后
Z98.800x103 舌术后
Z98.800x104 咽术后
Z98.800x105 咽腭成形术后
Z98.800x107 食管术后
Z98.800x108 胃术后
Z98.800x109 壶腹术后
Z98.800x110 贲门术后
Z98.800x111 胆道术后
Z98.800x112 胆囊术后
Z98.800x114 腹膜术后
Z98.800x115 肝术后
Z98.800x116 空肠术后
Z98.800x117 胰腺术后
Z98.800x118 结肠术后
Z98.800x119 回肠术后
Z98.800x120 肛管术后
Z98.800x121 盲肠术后
Z98.800x122 直肠术后
Z98.800x123 阑尾术后
Z98.800x124 十二指肠术后
Z98.800x201 输尿管术后
Z98.800x202 尿道术后
Z98.800x203 膀胱术后
Z98.800x205 前列腺术后
Z98.800x208 阴茎术后
Z98.800x209 睾丸术后
Z98.800x210 肾术后
Z98.800x301 宫颈术后
Z98.800x302 子宫术后
Z98.800x303 卵巢术后
Z98.800x305 盆腔术后
Z98.800x306 葡萄胎术后
Z98.800x307 前庭大腺术后
Z98.800x308 人流术后
Z98.800x309 输卵管术后
Z98.800x310 引产术后
Z98.800x311 外阴术后
Z98.800x312 药物流产术后
Z98.800x313 胚胎移植术后
Z98.800x315 输卵管假体置入术后
Z98.800x316 左侧输卵管绝育术后
Z98.800x317 右侧输卵管绝育术后
Z98.800x318 双侧输卵管绝育术后
Z98.800x319 多胎妊娠减胎术后
Z98.800x401 动静脉畸形栓塞术后
Z98.800x402 动脉狭窄扩张成型术后
Z98.800x403 冠状动脉造影术后
Z98.800x404 静脉曲张术后
Z98.800x405 先天性心脏病术后
Z98.800x406 二尖瓣球囊扩张术后
Z98.800x407 法洛四联症术后
Z98.800x408 室间隔缺损修补术后
Z98.800x409 二尖瓣成形术后
Z98.800x410 心内膜垫缺损修补术后
Z98.800x411 房间隔缺损修补术后
Z98.800x412 肺动脉瓣球囊扩张术后
Z98.800x413 三尖瓣成形术后
Z98.800x414 主动脉瓣成形术后
Z98.800x416 动脉导管结扎术后
Z98.800x417 淋巴静脉吻合术后
Z98.800x418 心脏消融术后
Z98.800x420 血管成形术后
Z98.800x421 心脏置入装置调整术后
Z98.800x422 心脏术后
Z98.800x423 主动脉瓣球囊扩张术后
Z98.800x501 垂体术后
Z98.800x502 甲状腺术后
Z98.800x503 肾上腺术后
Z98.800x507 脑术后
Z98.800x602 骨折术后
Z98.800x605 胸廓术后
Z98.800x606 腹股沟术后
Z98.800x609 清创术后
Z98.800x610 韧带术后
Z98.800x611 脊柱术后
Z98.800x612 乳腺术后
Z98.800x614 颈椎术后
Z98.800x615 胸椎术后
Z98.800x616 腰椎术后
Z98.800x701 耳术后
Z98.800x704 眼术后
Z98.800x901 气管支架置入术后
Z98.800x902 食管支架置入术后
Z98.800x903 胆管支架置入术后
Z98.800x904 胰管支架置入术后
Z98.800x905 十二直肠支架置入术后
Z98.800x906 结肠支架置入术后
Z98.800x907 输尿管支架置入术后
Z98.800x908 脾术后
Z98.801 玻璃体切除硅油充填状态
Z99.000 依赖吸引器
Z99.100x001 依赖于呼吸器者
Z99.200x002 肾脏透析状态
Z99.201 血液透析状态
Z99.300 依赖轮椅
Z99.400 依赖人工心脏
Z99.800 依赖其他可启动机器和装置
Z99.900 依赖可启动机器和装置
